FIPS,LCSPP21
40097,410.76
40099,381.53
40101,410.76
40105,410.76
40109,406.34
40111,410.76
40113,407.16
40115,410.76
40117,410.76
40119,410.76
40121,410.76
40123,381.53
40125,410.76
40131,407.16
40137,475.85
40143,407.16
40145,407.16
40147,410.76
41001,462
41003,402.33
41005,345.48
41007,415
41009,415
41011,415
41013,462
41015,415
41017,384.16
41019,462
41021,462
41023,462
41025,462
41027,408
41029,415
41031,462
41033,415
41035,384.16
41037,384.16
41039,402.33
41041,471
41043,402.33
41045,462
41047,379.92
41049,462
41051,345.48
41053,418.9
41055,462
41057,415
41059,462
41061,462
41063,462
41065,408
41067,345.48
41069,462
41071,367
42001,480.85
42003,294.66
42005,371.45
42007,313.3
42009,304.55
42011,364.76
42013,304.55
42015,320.89
42017,283.21
42019,294.66
42021,371.45
42023,487.42
42025,320.89
42027,508.49
42029,285.33
42031,371.45
42033,469.27
42035,392.71
42037,508.49
42039,371.45
42041,457.96
42043,457.96
42045,285.33
42047,487.42
42049,294.66
42051,313.3
42053,371.45
42055,472.35
42057,523.57
42059,430.43
42061,442.27
42063,430.43
42065,442.27
42067,523.57
42069,320.89
42071,364.76
42073,296.39
42075,472.35
42077,408.04
42079,320.89
42081,392.71
42083,430.43
42085,296.39
42087,508.49
42089,320.89
42091,283.21
42093,508.49
42095,408.04
42097,508.49
42099,457.96
42101,283.21
42103,445.11
42105,487.42
42107,408.04
42109,508.49
42111,304.55
42113,320.89
42115,320.89
42117,392.71
42119,508.49
42121,296.39
42123,371.45
42125,294.66
42127,320.89
42129,294.66
42131,320.89
42133,480.85
44001,297.41
44003,297.41
44005,297.41
44007,297.41
44009,297.41
45001,355.66
45003,376.17
45005,363.68
45007,458.21
45009,351.23
45011,377.4
45013,396.91
45015,383.91
45017,385.14
45019,340.99
45021,496.02
45023,426.08
45025,397.18
45027,389.12
45029,379.02
45031,422.3
45033,392.79
45035,372.63
45037,395.68
45039,373.05
45041,392.72
45043,347.1
45045,451.91
45047,341.04
45049,388.08
45051,397.27
45053,420.39
45055,390.35
45057,399.4
45059,406.78
45061,409.78
45063,474.53
45065,333.36
45067,390.24
45069,448.18
45071,378.05
45075,360.67
45077,474.14
45079,400.14
45081,407.52
45083,516.64
45085,382.31
45087,531.39
45089,377.13
45091,470.22
46003,471.66
46005,412.52
46007,558.9
46009,471.66
46011,412.52
46013,364.49
46015,471.66
46017,471.66
46019,558.9
46021,412.52
46023,471.66
46025,412.52
46027,410.81
46029,412.52
46031,412.52
46033,558.9
46035,471.66
46037,412.52
46039,412.52
46041,412.52
46043,471.66
46045,412.52
46047,558.9
46049,412.52
46051,412.52
46053,471.66
46055,558.9
46057,412.52
46059,471.66
46061,471.66
